event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
7235_Manchester City,7235,2017-2018,Manchester City,Leicester City,31-45+,48,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.33,9.5,5.75,0.7518796992481203,Strong Favorite
7236_Arsenal,7236,2017-2018,Arsenal,Tottenham,31-45+,40,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.5,2.89,3.6,0.4,Underdog
7237_AFC Bournemouth,7237,2017-2018,AFC Bournemouth,Huddersfield,16-30,30,False,True,2,0,2-0,4,0,W,1,0,0,3,0,1,0,1.83,5.25,3.5,0.5464480874316939,Moderate
7241_Southampton,7241,2017-2018,Southampton,Everton,46-60,57,False,True,3,1,3-1,4,1,W,1,0,0,3,0,0,0,1.9,4.75,3.39,0.5263157894736842,Moderate
7242_Watford,7242,2017-2018,Watford,Newcastle United,31-45+,45,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,3.5,2.2,3.5,0.2857142857142857,Underdog
7249_Leicester City,7249,2017-2018,Leicester City,Tottenham,31-45+,45,False,True,2,0,2-0,2,1,W,1,0,0,3,0,0,0,5.0,1.75,3.89,0.2,Underdog
7251_Manchester United,7251,2017-2018,Manchester United,Watford,16-30,24,False,False,2,0,2-0,4,2,W,1,0,0,3,0,0,0,1.72,5.25,3.89,0.5813953488372093,Moderate
7252_West Bromwich Albion,7252,2017-2018,West Bromwich Albion,Newcastle United,46-60,55,False,True,2,0,2-0,2,2,D,0,1,0,1,2,0,0,2.37,3.5,3.1,0.4219409282700421,Moderate
7253_Burnley,7253,2017-2018,Burnley,AFC Bournemouth,61-75,64,False,False,2,0,2-0,2,1,W,1,0,0,3,0,0,0,4.33,2.0,3.39,0.23094688221709,Underdog
7254_Arsenal,7254,2017-2018,Arsenal,Huddersfield,61-75,67,False,True,2,0,2-0,5,0,W,1,0,0,3,0,0,0,1.19,17.0,7.5,0.8403361344537815,Strong Favorite
7256_Everton,7256,2017-2018,Everton,West Ham United,16-30,27,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,2.37,3.29,3.29,0.4219409282700421,Moderate
7258_Liverpool,7258,2017-2018,Liverpool,Stoke City,76-90+,76,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.55,6.5,4.5,0.6451612903225806,Strong Favorite
7259_Chelsea,7259,2017-2018,Chelsea,Newcastle United,61-75,73,False,True,3,1,3-1,3,1,W,1,0,0,3,0,0,0,1.25,15.0,6.5,0.8,Strong Favorite
